pt,hlgt,sog,sog_name,hlgt_name,pt_name
10002034,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia
10002043,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia folate deficiency
10002064,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia macrocytic
10002065,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia megaloblastic
10002068,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia neonatal
10002073,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia of chronic disease
10002080,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia vitamin B12 deficiency
10002965,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Aplasia pure red cell
10002967,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Aplastic anaemia
10003965,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Babesiosis
10015279,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Erythroid maturation arrest
10020605,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Hyperchromic anaemia
10020969,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Hypochromic anaemia
10021074,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Hypoplastic anaemia
10022972,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Iron deficiency anaemia
10025487,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Malaria
10027538,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Microcytic anaemia
10028560,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Myeloid maturation arrest
10029783,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Normochromic normocytic anaemia
10033661,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Pancytopenia
10034695,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Pernicious anaemia
10048861,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia postoperative
10052293,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Haemorrhagic anaemia
10053213,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Febrile bone marrow aplasia
10058116,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Nephrogenic anaemia
10058956,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Bicytopenia
10061101,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Deficiency anaemia
10065553,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Bone marrow failure
10066468,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Anaemia of pregnancy
10068819,10002086,10005329,Blood and lymphatic system disorders,Anaemias nonhaemolytic and marrow depression,Conjunctival pallor
10020630,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Hypergammaglobulinaemia
10020633,10018849,10005329,Blood and lymphatic system disorders,Haematological disorders NEC,Hyperglobulinaemia
