"Name","MEDDRA_prefLabel","identical","MEDDRA_ID","url","classified_as","classified_as_ID","classifies","classifies_ID","subclassof","subclassof_ID"
"Neuropathy","Neuropathy",TRUE,10029328,"http://purl.bioontology.org/ontology/MEDDRA/10029328","Neuropathy peripheral","10029331",NA,NA,NA,NA
"Facial palsy","Facial palsy",TRUE,10016060,"http://purl.bioontology.org/ontology/MEDDRA/10016060","Facial paralysis","10016062",NA,NA,NA,NA
"Angioneurotic oedema","Angioneurotic oedema",TRUE,10002473,"http://purl.bioontology.org/ontology/MEDDRA/10002473","Angioedema","10002424",NA,NA,NA,NA
"Anorexia","Anorexia",TRUE,10002646,"http://purl.bioontology.org/ontology/MEDDRA/10002646","Decreased appetite","10061428",NA,NA,NA,NA
"Stupor","Stupor",TRUE,10042264,"http://purl.bioontology.org/ontology/MEDDRA/10042264",NA,NA,"Mental torpor, Torpor, Narcosis, Torpor mental","10027383, 10044064, 10059784, 10044065","Dyssomnias, Disturbances in consciousness NEC","10013980, 10013509"
"Skin nodule","Skin nodule",TRUE,10040902,"http://purl.bioontology.org/ontology/MEDDRA/10040902","Skin mass","10067868",NA,NA,NA,NA
"Visual disturbance","Visual disturbance",TRUE,10047543,"http://purl.bioontology.org/ontology/MEDDRA/10047543","Visual impairment","10047571",NA,NA,NA,NA
"Convulsion","Convulsion",TRUE,10010904,"http://purl.bioontology.org/ontology/MEDDRA/10010904","Seizure","10039906",NA,NA,NA,NA
"Thrombocythaemia","Thrombocythaemia",TRUE,10043549,"http://purl.bioontology.org/ontology/MEDDRA/10043549","Thrombocytosis","10043563",NA,NA,NA,NA
"Grand mal convulsion","Grand mal convulsion",TRUE,10018659,"http://purl.bioontology.org/ontology/MEDDRA/10018659","Generalised tonic-clonic seizure","10018100",NA,NA,NA,NA
"Abasia","Abasia",TRUE,10049460,"http://purl.bioontology.org/ontology/MEDDRA/10049460","Gait inability","10017581",NA,NA,NA,NA
"Blood product transfusion","Blood product transfusion",TRUE,10005765,"http://purl.bioontology.org/ontology/MEDDRA/10005765","Transfusion","10066152",NA,NA,NA,NA
"Autism","Autism",TRUE,10003805,"http://purl.bioontology.org/ontology/MEDDRA/10003805","Autism spectrum disorder","10063844",NA,NA,NA,NA
"Herpes simplex serology negative","Herpes simplex serology negative",TRUE,10062595,"http://purl.bioontology.org/ontology/MEDDRA/10062595","Herpes simplex test negative","10077970",NA,NA,NA,NA
"Mental retardation severity unspecified","Mental retardation severity unspecified",TRUE,10027380,"http://purl.bioontology.org/ontology/MEDDRA/10027380","Intellectual disability","10067989",NA,NA,NA,NA
"Depersonalisation","Depersonalisation",TRUE,10012357,"http://purl.bioontology.org/ontology/MEDDRA/10012357","Depersonalisation/derealisation disorder","10077805",NA,NA,NA,NA
"Borrelia burgdorferi serology positive","Borrelia burgdorferi serology positive",TRUE,10059732,"http://purl.bioontology.org/ontology/MEDDRA/10059732","Borrelia test positive","10070011",NA,NA,NA,NA
"Hepatocellular damage","Hepatocellular damage",TRUE,10019831,"http://purl.bioontology.org/ontology/MEDDRA/10019831","Hepatocellular injury","10019837",NA,NA,NA,NA
"Pharyngolaryngeal pain","Pharyngolaryngeal pain",TRUE,10034844,"http://purl.bioontology.org/ontology/MEDDRA/10034844","Laryngeal pain","10023848",NA,NA,NA,NA
"Stomach discomfort","Stomach discomfort",TRUE,10042101,"http://purl.bioontology.org/ontology/MEDDRA/10042101","Abdominal discomfort","10000059",NA,NA,NA,NA
"Dermographism","Dermographism",TRUE,10012521,"http://purl.bioontology.org/ontology/MEDDRA/10012521","Mechanical urticaria","10068773",NA,NA,NA,NA
"Subcutaneous nodule","Subcutaneous nodule",TRUE,10042348,"http://purl.bioontology.org/ontology/MEDDRA/10042348","Skin mass","10067868",NA,NA,NA,NA
"Feeding disorder neonatal","Feeding disorder neonatal",TRUE,10016316,"http://purl.bioontology.org/ontology/MEDDRA/10016316","Selective eating disorder","10078069",NA,NA,NA,NA
"Local swelling","Local swelling",TRUE,10024770,"http://purl.bioontology.org/ontology/MEDDRA/10024770","Swelling","10042674",NA,NA,NA,NA
"Sensation of heaviness","Sensation of heaviness",TRUE,10040000,"http://purl.bioontology.org/ontology/MEDDRA/10040000","Discomfort","10013082",NA,NA,NA,NA
"Difficulty in walking","Difficulty in walking",TRUE,10012794,"http://purl.bioontology.org/ontology/MEDDRA/10012794","Gait disturbance","10017577",NA,NA,NA,NA
"Anaemia haemolytic autoimmune","Anaemia haemolytic autoimmune",TRUE,10002046,"http://purl.bioontology.org/ontology/MEDDRA/10002046","Autoimmune haemolytic anaemia","10073785",NA,NA,NA,NA
"Faecal incontinence","Faecal incontinence",TRUE,10016092,"http://purl.bioontology.org/ontology/MEDDRA/10016092","Anal incontinence","10077605",NA,NA,NA,NA
"Dysphasia","Dysphasia",TRUE,10013951,"http://purl.bioontology.org/ontology/MEDDRA/10013951","Aphasia","10002948",NA,NA,NA,NA
"Vomiting neonatal","Vomiting neonatal",TRUE,10047705,"http://purl.bioontology.org/ontology/MEDDRA/10047705","Infantile vomiting","10075315",NA,NA,NA,NA
"Self injurious behaviour","Self injurious behaviour",TRUE,10063495,"http://purl.bioontology.org/ontology/MEDDRA/10063495","Intentional self-injury","10022524",NA,NA,NA,NA
"Oral intake reduced","Oral intake reduced",TRUE,10063889,"http://purl.bioontology.org/ontology/MEDDRA/10063889","Hypophagia","10063743",NA,NA,NA,NA
"Sensation of pressure","Sensation of pressure",TRUE,10040003,"http://purl.bioontology.org/ontology/MEDDRA/10040003","Discomfort","10013082",NA,NA,NA,NA
"Postnasal drip","Postnasal drip",TRUE,10036402,"http://purl.bioontology.org/ontology/MEDDRA/10036402","Upper-airway cough syndrome","10070488",NA,NA,NA,NA
"Syncope vasovagal","Syncope vasovagal",TRUE,10042777,"http://purl.bioontology.org/ontology/MEDDRA/10042777","Syncope","10042772",NA,NA,NA,NA
"High-pitched crying","High-pitched crying",TRUE,10052286,"http://purl.bioontology.org/ontology/MEDDRA/10052286","Crying","10011469",NA,NA,NA,NA
"Shoulder pain","Shoulder pain",TRUE,10040617,"http://purl.bioontology.org/ontology/MEDDRA/10040617","Musculoskeletal pain","10028391",NA,NA,NA,NA
"Aphthous stomatitis","Aphthous stomatitis",TRUE,10002958,"http://purl.bioontology.org/ontology/MEDDRA/10002958","Aphthous ulcer","10002959",NA,NA,NA,NA
"Hearing impaired","Hearing impaired",TRUE,10019245,"http://purl.bioontology.org/ontology/MEDDRA/10019245","Hypoacusis","10048865",NA,NA,NA,NA
"Leukocytoclastic vasculitis","Leukocytoclastic vasculitis",TRUE,10024377,"http://purl.bioontology.org/ontology/MEDDRA/10024377","Hypersensitivity vasculitis","10020764",NA,NA,NA,NA
"Drug toxicity","Drug toxicity",TRUE,10013746,"http://purl.bioontology.org/ontology/MEDDRA/10013746","Toxicity to various agents","10070863",NA,NA,NA,NA
"Neonatal apnoeic attack","Neonatal apnoeic attack",TRUE,10028922,"http://purl.bioontology.org/ontology/MEDDRA/10028922","Infantile apnoea","10077321",NA,NA,NA,NA
"Intra-uterine death","Intra-uterine death",TRUE,10022747,"http://purl.bioontology.org/ontology/MEDDRA/10022747","Foetal death","10055690",NA,NA,NA,NA
"Candidiasis","Candidiasis",TRUE,10007152,"http://purl.bioontology.org/ontology/MEDDRA/10007152","Candida infection","10074170",NA,NA,NA,NA
"Monarthritis","Monarthritis",TRUE,10027811,"http://purl.bioontology.org/ontology/MEDDRA/10027811","Arthritis","10003246",NA,NA,NA,NA
"Somatoform disorder","Somatoform disorder",TRUE,10054153,"http://purl.bioontology.org/ontology/MEDDRA/10054153","Somatic symptom disorder","10078076",NA,NA,NA,NA
"Blood amylase increased","Blood amylase increased",TRUE,10005328,"http://purl.bioontology.org/ontology/MEDDRA/10005328","Amylase increased","10002016",NA,NA,NA,NA
"Injection site desquamation","Injection site desquamation",TRUE,10059007,"http://purl.bioontology.org/ontology/MEDDRA/10059007","Injection site exfoliation","10068689",NA,NA,NA,NA
"Paralysis flaccid","Paralysis flaccid",TRUE,10033809,"http://purl.bioontology.org/ontology/MEDDRA/10033809","Paralysis","10033799",NA,NA,NA,NA
"Pancreatic insufficiency","Pancreatic insufficiency",TRUE,10033628,"http://purl.bioontology.org/ontology/MEDDRA/10033628","Pancreatic failure","10079281",NA,NA,NA,NA
"Lobar pneumonia","Lobar pneumonia",TRUE,10024738,"http://purl.bioontology.org/ontology/MEDDRA/10024738","Pneumonia","10035664",NA,NA,NA,NA
"Renal failure acute","Renal failure acute",TRUE,10038436,"http://purl.bioontology.org/ontology/MEDDRA/10038436","Acute kidney injury","10069339",NA,NA,NA,NA
"Nerve root lesion","Nerve root lesion",TRUE,10029188,"http://purl.bioontology.org/ontology/MEDDRA/10029188","Radiculopathy","10037779",NA,NA,NA,NA
"Scotoma","Scotoma",TRUE,10039729,"http://purl.bioontology.org/ontology/MEDDRA/10039729","Visual field defect","10047555",NA,NA,NA,NA
"Arterial thrombosis limb","Arterial thrombosis limb",TRUE,10003180,"http://purl.bioontology.org/ontology/MEDDRA/10003180","Peripheral artery thrombosis","10072564",NA,NA,NA,NA
"Borrelia burgdorferi serology negative","Borrelia burgdorferi serology negative",TRUE,10059733,"http://purl.bioontology.org/ontology/MEDDRA/10059733","Borrelia test negative","10070280",NA,NA,NA,NA
"Syphilis test negative","Syphilis test negative",TRUE,10051322,"http://purl.bioontology.org/ontology/MEDDRA/10051322","Treponema test negative","10070403",NA,NA,NA,NA
"Atherosclerosis","Atherosclerosis",TRUE,10003601,"http://purl.bioontology.org/ontology/MEDDRA/10003601","Arteriosclerosis","10003210",NA,NA,NA,NA
"Anal discomfort","Anal discomfort",TRUE,10052811,"http://purl.bioontology.org/ontology/MEDDRA/10052811","Anorectal discomfort","10068286",NA,NA,NA,NA
"Bronchitis acute","Bronchitis acute",TRUE,10006452,"http://purl.bioontology.org/ontology/MEDDRA/10006452","Bronchitis","10006451",NA,NA,NA,NA
"Murder","Murder",TRUE,10028280,"http://purl.bioontology.org/ontology/MEDDRA/10028280","Homicide","10020364",NA,NA,NA,NA
"Multi-organ failure","Multi-organ failure",TRUE,10028154,"http://purl.bioontology.org/ontology/MEDDRA/10028154","Multiple organ dysfunction syndrome","10077361",NA,NA,NA,NA
"Wegener's granulomatosis","Wegener's granulomatosis",TRUE,10047888,"http://purl.bioontology.org/ontology/MEDDRA/10047888","Granulomatosis with polyangiitis","10072579",NA,NA,NA,NA
"Collapse of lung","Collapse of lung",TRUE,10009913,"http://purl.bioontology.org/ontology/MEDDRA/10009913","Pneumothorax","10035759",NA,NA,NA,NA
"Hepatitis C virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aseptic necrosis bone","Aseptic necrosis bone",TRUE,10003460,"http://purl.bioontology.org/ontology/MEDDRA/10003460","Osteonecrosis","10031264",NA,NA,NA,NA
"Analgesic effect","Analgesic effect",TRUE,10052803,"http://purl.bioontology.org/ontology/MEDDRA/10052803","Analgesic therapy","10053469",NA,NA,NA,NA
"Adrenocortical insufficiency chronic","Adrenocortical insufficiency chronic",TRUE,10001390,"http://purl.bioontology.org/ontology/MEDDRA/10001390","Addison's disease","10001130",NA,NA,NA,NA
"Idiopathic thrombocytopenic purpura","Idiopathic thrombocytopenic purpura",TRUE,10021245,"http://purl.bioontology.org/ontology/MEDDRA/10021245","Immune thrombocytopenic purpura","10074667",NA,NA,NA,NA
"Oculogyration","Oculogyration",TRUE,10061552,"http://purl.bioontology.org/ontology/MEDDRA/10061552","Oculogyric crisis","10030071",NA,NA,NA,NA
"Renal interstitial fibrosis","Renal interstitial fibrosis",TRUE,10038475,"http://purl.bioontology.org/ontology/MEDDRA/10038475","Kidney fibrosis","10023421",NA,NA,NA,NA
"Hypertrophy breast","Hypertrophy breast",TRUE,10020881,"http://purl.bioontology.org/ontology/MEDDRA/10020881","Breast enlargement","10006242",NA,NA,NA,NA
"Pseudo lymphoma","Pseudo lymphoma",TRUE,10037108,"http://purl.bioontology.org/ontology/MEDDRA/10037108","Pseudolymphoma","10037127",NA,NA,NA,NA
"Thymus hypertrophy","Thymus hypertrophy",TRUE,10043682,"http://purl.bioontology.org/ontology/MEDDRA/10043682","Thymus enlargement","10065588",NA,NA,NA,NA
