"AE_NAME","ID","MEDDRA_AE_NAME","MEDDRA_ID"
"Ecchymosis","10002034","Ecchymosis","10002034"
"Petechiae","10002043","Petechiae","10002043"
"Thrombocytopenia","10002064","Thrombocytopenia","10002064"
"Thrombocytopenic purpura","10002065","Thrombocytopenic purpura","10002065"
"Pruritus","10002068","Pruritus","10002068"
"Urticaria","10002073","Urticaria","10002073"
"Asthenia","10002080","Asthenia","10002080"
"Pain","10002965","Pain","10002965"
"Dyspnoea","10002967","Dyspnoea","10002967"
"Paraesthesia","10003965","Paraesthesia","10003965"
"Guillain-Barre syndrome","10015279","Guillain-Barre syndrome","10015279"
"Myasthenic syndrome","10020605","Myasthenic syndrome","10020605"
"Drug ineffective","10020969","Drug ineffective","10020969"
"Apnoea","10021074","Apnoea","10021074"
"Dysphagia","10022972","Dysphagia","10022972"
"Gaze palsy","10025487","Gaze palsy","10025487"
"Hyperkinesia","10027538","Hyperkinesia","10027538"
"Arthralgia","10028560","Arthralgia","10028560"
"Hypokinesia","10029783","Hypokinesia","10029783"
"Dermatitis bullous","10033661","Dermatitis bullous","10033661"
"Dry skin","10034695","Dry skin","10034695"
"Injection site hypersensitivity","10048861","Injection site hypersensitivity","10048861"
"Agitation","10052293","Agitation","10052293"
"Rash maculo-papular","10053213","Rash maculo-papular","10053213"
"Chills","10058116","Chills","10058116"
"Nausea","10058956","Nausea","10058956"
"Dizziness","10061101","Dizziness","10061101"
"Hyperhidrosis","10065553","Hyperhidrosis","10065553"
"Hyperventilation","10066468","Hyperventilation","10066468"
"Neuropathy","10029328","Neuropathy peripheral","10029331"
"Rash","10020630","Rash","10020630"
"Vertigo","10020633","Vertigo","10020633"
"Condition aggravated","10020974","Condition aggravated","10020974"
"Hypotension","10026891","Hypotension","10026891"
"Dysgeusia","10027496","Dysgeusia","10027496"
"Tachycardia","10035146","Tachycardia","10035146"
"Tongue oedema","10044359","Tongue oedema","10044359"
"Arrhythmia","10048595","Arrhythmia","10048595"
"Pyrexia","10051763","Pyrexia","10051763"
"Hypertension","10056474","Hypertension","10056474"
"Vasodilatation","10058002","Vasodilatation","10058002"
"Injection site pain","10058822","Injection site pain","10058822"
"Abdominal pain","10059484","Abdominal pain","10059484"
"Back pain","10061590","Back pain","10061590"
"Influenza","10061729","Influenza","10061729"
"Chest pain","10062714","Chest pain","10062714"
"Laryngospasm","10066816","Laryngospasm","10066816"
"Sinusitis","10015493","Sinusitis","10015493"
"Myalgia","10020117","Myalgia","10020117"
"Salivary hypersecretion","10026851","Salivary hypersecretion","10026851"
"Amblyopia","10028537","Amblyopia","10028537"
"Tremor","10036057","Tremor","10036057"
"Facial palsy","10016060","Facial paralysis","10016062"
"Neck pain","10049646","Neck pain","10049646"
"Laboratory test abnormal","10060801","Laboratory test abnormal","10060801"
"Multiple sclerosis","10061232","Multiple sclerosis","10061232"
"Intussusception","10062044","Intussusception","10062044"
"Diarrhoea","10063397","Diarrhoea","10063397"
"Headache","10066476","Headache","10066476"
"Leukocytosis","10069070","Leukocytosis","10069070"
"Injection site atrophy","10069097","Injection site atrophy","10069097"
"Infection","10069698","Infection","10069698"
"Amnesia","10013609","Amnesia","10013609"
"Insomnia","10040641","Insomnia","10040641"
"Migraine","10040642","Migraine","10040642"
"Confusional state","10040650","Confusional state","10040650"
"Lymphadenopathy","10043388","Lymphadenopathy","10043388"
"Pharyngitis","10043390","Pharyngitis","10043390"
"Angioneurotic oedema","10002473","Angioedema","10002424"
"Face oedema","10000206","Face oedema","10000206"
"Anorexia","10002646","Decreased appetite","10061428"
"Dehydration","10010941","Dehydration","10010941"
"Rhinitis","10018444","Rhinitis","10018444"
"Somnolence","10018901","Somnolence","10018901"
"Vomiting","10018906","Vomiting","10018906"
"Hypertonia","10018910","Hypertonia","10018910"
"Gastrointestinal disorder","10018916","Gastrointestinal disorder","10018916"
"Dysuria","10018932","Dysuria","10018932"
"Paralysis","10019904","Paralysis","10019904"
"CSF test abnormal","10020578","CSF test abnormal","10020578"
"Herpes zoster","10022822","Herpes zoster","10022822"
"Malaise","10023126","Malaise","10023126"
"Hypotonia","10023138","Hypotonia","10023138"
"Pallor","10027527","Pallor","10027527"
"Stupor","10042264","Stupor","10042264"
"Affect lability","10041509","Affect lability","10041509"
"Depressed level of consciousness","10047822","Depressed level of consciousness","10047822"
"Quadriplegia","10052483","Quadriplegia","10052483"
"Red blood cell abnormality","10053873","Red blood cell abnormality","10053873"
"Dyspepsia","10058117","Dyspepsia","10058117"
"Oedema peripheral","10069395","Oedema peripheral","10069395"
"Skin nodule","10040902","Skin mass","10067868"
"Blindness","10000830","Blindness","10000830"
"Hypoaesthesia","10000846","Hypoaesthesia","10000846"
"Visual disturbance","10047543","Visual impairment","10047571"
"Encephalitis","10000880","Encephalitis","10000880"
"Unevaluable event","10000890","Unevaluable event","10000890"
"Injection site oedema","10001019","Injection site oedema","10001019"
"Injection site mass","10003917","Injection site mass","10003917"
"Depression","10008958","Depression","10008958"
"Menorrhagia","10009013","Menorrhagia","10009013"
"Personality disorder","10009018","Personality disorder","10009018"
"Dysmenorrhoea","10015281","Dysmenorrhoea","10015281"
"Gait disturbance","10019053","Gait disturbance","10019053"
"Urinary tract disorder","10024288","Urinary tract disorder","10024288"
"Nervousness","10025270","Nervousness","10025270"
"Bone pain","10028533","Bone pain","10028533"
"Erythema multiforme","10028549","Erythema multiforme","10028549"
"Screaming","10036888","Screaming","10036888"
"Injection site reaction","10042985","Injection site reaction","10042985"
"Dermatitis contact","10042987","Dermatitis contact","10042987"
"Abnormal faeces","10061220","Abnormal faeces","10061220"
"Otitis media","10063620","Otitis media","10063620"
"Gastrointestinal haemorrhage","10066231","Gastrointestinal haemorrhage","10066231"
"Weight decreased","10020206","Weight decreased","10020206"
"Red blood cell sedimentation rate increased","10020244","Red blood cell sedimentation rate increased","10020244"
"Coordination abnormal","10020266","Coordination abnormal","10020266"
"Tinnitus","10020269","Tinnitus","10020269"
"Convulsion","10010904","Seizure","10039906"
"Syncope","10061597","Syncope","10061597"
"Mouth ulceration","10003899","Mouth ulceration","10003899"
"Serum sickness","10003907","Serum sickness","10003907"
"Muscle twitching","10006595","Muscle twitching","10006595"
"Injection site inflammation","10012818","Injection site inflammation","10012818"
"Sepsis","10029460","Sepsis","10029460"
"Thrombocythaemia","10043549","Thrombocytosis","10043563"
"Oedema","10036710","Oedema","10036710"
"Abscess","10047801","Abscess","10047801"
